,Item,ServingSize,Calories,CaloriesFromFat,TotalFat,TF%OfDailyValue,SaturatedFat,SF%OfDailyValue,TransFat,Cholesterol,Chol%OfDailyValue,Sodium,S%OfDailyValue,Carbohydrates,Carb%OfDailyValue,DietaryFiber,Fiber%OfDailyValue,Sugar,Protien,%VitaminA,%VitaminC,%Calcium,%Iron,Category_Beef & Pork,Category_Beverages,Category_Breakfast,Category_Chicken & Fish,Category_Coffee & Tea,Category_Desserts,Category_Salads,Category_Smoothies & Shakes,Category_Snacks & Sides,Resturant_InNOut,Resturant_McDonalds,Resturant_RedRobin
0,Egg McMuffin,4.8 oz (136 g),300.0,120.0,13.0,20.0,5.0,25.0,0.0,260.0,87.0,750.0,31.0,31.0,10.0,4.0,17.0,3.0,17.0,10.0,0.0,25.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
1,Egg White Delight,4.8 oz (135 g),250.0,70.0,8.0,12.0,3.0,15.0,0.0,25.0,8.0,770.0,32.0,30.0,10.0,4.0,17.0,3.0,18.0,6.0,0.0,25.0,8.0,0,0,1,0,0,0,0,0,0,0,1,0
2,Sausage McMuffin,3.9 oz (111 g),370.0,200.0,23.0,35.0,8.0,42.0,0.0,45.0,15.0,780.0,33.0,29.0,10.0,4.0,17.0,2.0,14.0,8.0,0.0,25.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
3,Sausage McMuffin with Egg,5.7 oz (161 g),450.0,250.0,28.0,43.0,10.0,52.0,0.0,285.0,95.0,860.0,36.0,30.0,10.0,4.0,17.0,2.0,21.0,15.0,0.0,30.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
4,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400.0,210.0,23.0,35.0,8.0,42.0,0.0,50.0,16.0,880.0,37.0,30.0,10.0,4.0,17.0,2.0,21.0,6.0,0.0,25.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
5,Steak & Egg McMuffin,6.5 oz (185 g),430.0,210.0,23.0,36.0,9.0,46.0,1.0,300.0,100.0,960.0,40.0,31.0,10.0,4.0,18.0,3.0,26.0,15.0,2.0,30.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
6,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460.0,230.0,26.0,40.0,13.0,65.0,0.0,250.0,83.0,1300.0,54.0,38.0,13.0,2.0,7.0,3.0,19.0,10.0,8.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
7,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520.0,270.0,30.0,47.0,14.0,68.0,0.0,250.0,83.0,1410.0,59.0,43.0,14.0,3.0,12.0,4.0,19.0,15.0,8.0,20.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
8,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410.0,180.0,20.0,32.0,11.0,56.0,0.0,35.0,11.0,1300.0,54.0,36.0,12.0,2.0,7.0,3.0,20.0,2.0,8.0,15.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
9,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470.0,220.0,25.0,38.0,12.0,59.0,0.0,35.0,11.0,1420.0,59.0,42.0,14.0,3.0,12.0,4.0,20.0,6.0,8.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
10,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430.0,240.0,27.0,42.0,12.0,62.0,0.0,30.0,10.0,1080.0,45.0,34.0,11.0,2.0,6.0,2.0,11.0,0.0,0.0,6.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
11,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480.0,280.0,31.0,48.0,13.0,65.0,0.0,30.0,10.0,1190.0,50.0,39.0,13.0,3.0,11.0,3.0,11.0,4.0,0.0,8.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
12,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510.0,290.0,33.0,50.0,14.0,71.0,0.0,250.0,83.0,1170.0,49.0,36.0,12.0,2.0,6.0,2.0,18.0,6.0,0.0,10.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
13,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570.0,330.0,37.0,57.0,15.0,74.0,0.0,250.0,83.0,1280.0,53.0,42.0,14.0,3.0,11.0,3.0,18.0,10.0,0.0,10.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
14,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460.0,250.0,27.0,42.0,12.0,62.0,0.0,35.0,11.0,1180.0,49.0,34.0,11.0,2.0,6.0,3.0,18.0,0.0,0.0,8.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
15,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520.0,280.0,32.0,49.0,13.0,65.0,0.0,35.0,11.0,1290.0,54.0,40.0,13.0,3.0,11.0,3.0,18.0,4.0,0.0,8.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
16,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410.0,180.0,20.0,31.0,8.0,41.0,0.0,30.0,10.0,1180.0,49.0,41.0,14.0,2.0,6.0,3.0,17.0,0.0,2.0,6.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
17,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470.0,220.0,24.0,37.0,9.0,45.0,0.0,30.0,10.0,1290.0,54.0,46.0,15.0,3.0,11.0,4.0,17.0,4.0,2.0,8.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
18,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540.0,290.0,32.0,49.0,16.0,78.0,1.0,280.0,93.0,1470.0,61.0,38.0,13.0,2.0,8.0,3.0,25.0,10.0,2.0,20.0,25.0,0,0,1,0,0,0,0,0,0,0,1,0
19,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460.0,190.0,21.0,32.0,9.0,44.0,0.0,250.0,84.0,1250.0,52.0,48.0,16.0,2.0,9.0,15.0,19.0,10.0,10.0,20.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
20,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400.0,140.0,15.0,24.0,7.0,34.0,0.0,35.0,11.0,1250.0,52.0,47.0,16.0,2.0,9.0,16.0,20.0,2.0,10.0,15.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
21,Sausage McGriddles,5 oz (141 g),420.0,200.0,22.0,34.0,8.0,40.0,0.0,35.0,11.0,1030.0,43.0,44.0,15.0,2.0,8.0,15.0,11.0,0.0,0.0,8.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
22,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550.0,280.0,31.0,48.0,12.0,61.0,0.0,265.0,89.0,1320.0,55.0,48.0,16.0,2.0,9.0,15.0,20.0,10.0,0.0,20.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
23,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500.0,230.0,26.0,40.0,10.0,52.0,0.0,50.0,17.0,1320.0,55.0,46.0,15.0,2.0,9.0,15.0,21.0,2.0,0.0,20.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
24,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620.0,280.0,31.0,48.0,11.0,56.0,0.5,275.0,92.0,1480.0,62.0,57.0,19.0,3.0,11.0,7.0,30.0,20.0,15.0,20.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
25,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570.0,230.0,25.0,39.0,9.0,45.0,0.5,60.0,20.0,1480.0,62.0,55.0,18.0,3.0,12.0,8.0,30.0,10.0,15.0,20.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
26,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670.0,310.0,35.0,53.0,13.0,63.0,1.5,295.0,99.0,1510.0,63.0,56.0,19.0,3.0,12.0,7.0,33.0,20.0,4.0,25.0,25.0,0,0,1,0,0,0,0,0,0,0,1,0
27,Big Breakfast (Regular Biscuit),9.5 oz (269 g),740.0,430.0,48.0,73.0,17.0,87.0,0.0,555.0,185.0,1560.0,65.0,51.0,17.0,3.0,12.0,3.0,28.0,15.0,2.0,15.0,25.0,0,0,1,0,0,0,0,0,0,0,1,0
28,Big Breakfast (Large Biscuit),10 oz (283 g),800.0,470.0,52.0,80.0,18.0,90.0,0.0,555.0,185.0,1680.0,70.0,56.0,19.0,4.0,17.0,3.0,28.0,15.0,2.0,15.0,30.0,0,0,1,0,0,0,0,0,0,0,1,0
29,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640.0,330.0,37.0,57.0,14.0,69.0,0.0,35.0,12.0,1590.0,66.0,50.0,17.0,3.0,12.0,3.0,26.0,0.0,2.0,10.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
30,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690.0,370.0,41.0,63.0,14.0,72.0,0.0,35.0,12.0,1700.0,71.0,55.0,18.0,4.0,17.0,4.0,26.0,4.0,2.0,10.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
31,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1090.0,510.0,56.0,87.0,19.0,96.0,0.0,575.0,192.0,2150.0,90.0,111.0,37.0,6.0,23.0,17.0,36.0,15.0,2.0,25.0,40.0,0,0,1,0,0,0,0,0,0,0,1,0
32,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1150.0,540.0,60.0,93.0,20.0,100.0,0.0,575.0,192.0,2260.0,94.0,116.0,39.0,7.0,28.0,17.0,36.0,15.0,2.0,30.0,40.0,0,0,1,0,0,0,0,0,0,0,1,0
33,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990.0,410.0,46.0,70.0,16.0,78.0,0.0,55.0,19.0,2170.0,91.0,110.0,37.0,6.0,23.0,17.0,35.0,0.0,2.0,25.0,30.0,0,0,1,0,0,0,0,0,0,0,1,0
34,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),1050.0,450.0,50.0,77.0,16.0,81.0,0.0,55.0,19.0,2290.0,95.0,115.0,38.0,7.0,28.0,18.0,35.0,4.0,2.0,25.0,30.0,0,0,1,0,0,0,0,0,0,0,1,0
35,Hotcakes,5.3 oz (151 g),350.0,80.0,9.0,13.0,2.0,9.0,0.0,20.0,7.0,590.0,24.0,60.0,20.0,3.0,10.0,14.0,8.0,0.0,0.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
36,Hotcakes and Sausage,6.8 oz (192 g),520.0,210.0,24.0,37.0,7.0,36.0,0.0,50.0,17.0,930.0,39.0,61.0,20.0,3.0,10.0,14.0,15.0,0.0,0.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
37,Sausage Burrito,3.9 oz (111 g),300.0,150.0,16.0,25.0,7.0,33.0,0.0,115.0,38.0,790.0,33.0,26.0,9.0,1.0,5.0,2.0,12.0,10.0,2.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
38,Hash Brown,2 oz (56 g),150.0,80.0,9.0,14.0,1.5,6.0,0.0,0.0,0.0,310.0,13.0,15.0,5.0,2.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0
39,Cinnamon Melts,4 oz (114 g),460.0,170.0,19.0,30.0,9.0,43.0,0.0,15.0,5.0,370.0,15.0,66.0,22.0,3.0,11.0,32.0,6.0,4.0,0.0,6.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
40,Fruit & Maple Oatmeal,9.6 oz (251 g),290.0,35.0,4.0,6.0,1.5,8.0,0.0,5.0,2.0,160.0,7.0,58.0,19.0,5.0,19.0,32.0,5.0,2.0,130.0,10.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
41,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260.0,40.0,4.0,6.0,1.5,8.0,0.0,5.0,2.0,115.0,5.0,49.0,16.0,5.0,22.0,18.0,5.0,2.0,130.0,6.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
42,Big Mac,7.4 oz (211 g),530.0,240.0,27.0,42.0,10.0,48.0,1.0,85.0,28.0,960.0,40.0,47.0,16.0,3.0,13.0,9.0,24.0,6.0,2.0,25.0,25.0,1,0,0,0,0,0,0,0,0,0,1,0
43,Quarter Pounder with Cheese,7.1 oz (202 g),520.0,240.0,26.0,41.0,12.0,61.0,1.5,95.0,31.0,1100.0,46.0,41.0,14.0,3.0,11.0,10.0,30.0,10.0,2.0,30.0,25.0,1,0,0,0,0,0,0,0,0,0,1,0
44,Quarter Pounder with Bacon & Cheese,8 oz (227 g),600.0,260.0,29.0,45.0,13.0,63.0,1.5,105.0,34.0,1440.0,60.0,48.0,16.0,3.0,12.0,12.0,37.0,6.0,15.0,25.0,30.0,1,0,0,0,0,0,0,0,0,0,1,0
45,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610.0,280.0,31.0,48.0,13.0,64.0,1.5,105.0,35.0,1180.0,49.0,46.0,15.0,3.0,14.0,10.0,37.0,8.0,20.0,25.0,30.0,1,0,0,0,0,0,0,0,0,0,1,0
46,Quarter Pounder Deluxe,8.6 oz (244 g),540.0,250.0,27.0,42.0,11.0,54.0,1.5,85.0,28.0,960.0,40.0,45.0,15.0,3.0,13.0,9.0,29.0,10.0,8.0,25.0,30.0,1,0,0,0,0,0,0,0,0,0,1,0
47,Double Quarter Pounder with Cheese,10 oz (283 g),750.0,380.0,43.0,66.0,19.0,96.0,2.5,160.0,53.0,1280.0,53.0,42.0,14.0,3.0,11.0,10.0,48.0,10.0,2.0,30.0,35.0,1,0,0,0,0,0,0,0,0,0,1,0
48,Hamburger,3.5 oz (98 g),240.0,70.0,8.0,12.0,3.0,15.0,0.0,30.0,10.0,480.0,20.0,32.0,11.0,1.0,6.0,6.0,12.0,2.0,2.0,10.0,15.0,1,0,0,0,0,0,0,0,0,0,1,0
49,Cheeseburger,4 oz (113 g),290.0,100.0,11.0,18.0,5.0,27.0,0.5,45.0,15.0,680.0,28.0,33.0,11.0,2.0,7.0,7.0,15.0,6.0,2.0,20.0,15.0,1,0,0,0,0,0,0,0,0,0,1,0
50,Double Cheeseburger,5.7 oz (161 g),430.0,190.0,21.0,32.0,10.0,52.0,1.0,90.0,30.0,1040.0,43.0,35.0,12.0,2.0,8.0,7.0,24.0,10.0,2.0,30.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0
51,Bacon Clubhouse Burger,9.5 oz (270 g),720.0,360.0,40.0,62.0,15.0,75.0,1.5,115.0,38.0,1470.0,61.0,51.0,17.0,4.0,14.0,14.0,39.0,8.0,25.0,30.0,25.0,1,0,0,0,0,0,0,0,0,0,1,0
52,McDouble,5.2 oz (147 g),380.0,150.0,17.0,26.0,8.0,40.0,1.0,75.0,25.0,840.0,35.0,34.0,11.0,2.0,7.0,7.0,22.0,6.0,2.0,20.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0
53,Bacon McDouble,5.7 oz (161 g),440.0,200.0,22.0,34.0,10.0,49.0,1.0,90.0,30.0,1110.0,46.0,35.0,12.0,2.0,7.0,7.0,27.0,6.0,10.0,20.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0
54,Daily Double,6.7 oz (190 g),430.0,200.0,22.0,35.0,9.0,44.0,1.0,80.0,27.0,760.0,32.0,34.0,11.0,2.0,8.0,7.0,22.0,8.0,8.0,20.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0
55,Jalapeño Double,5.6 oz (159 g),430.0,210.0,23.0,36.0,9.0,44.0,1.0,80.0,27.0,1030.0,43.0,35.0,12.0,2.0,7.0,6.0,22.0,6.0,8.0,20.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0
56,McRib,7.3 oz (208 g),500.0,240.0,26.0,40.0,10.0,48.0,0.0,70.0,23.0,980.0,41.0,44.0,15.0,3.0,10.0,11.0,22.0,2.0,2.0,15.0,20.0,1,0,0,0,0,0,0,0,0,0,1,0
57,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510.0,200.0,22.0,33.0,3.5,18.0,0.0,45.0,16.0,990.0,41.0,55.0,18.0,3.0,13.0,10.0,24.0,4.0,6.0,15.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
58,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350.0,80.0,9.0,13.0,2.0,9.0,0.0,65.0,22.0,820.0,34.0,42.0,14.0,3.0,13.0,8.0,28.0,4.0,8.0,15.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
59,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670.0,300.0,33.0,51.0,9.0,44.0,0.0,85.0,29.0,1410.0,59.0,58.0,19.0,3.0,14.0,11.0,36.0,8.0,20.0,30.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
60,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510.0,180.0,20.0,31.0,7.0,36.0,0.0,105.0,35.0,1250.0,52.0,44.0,15.0,3.0,13.0,9.0,40.0,8.0,20.0,30.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
61,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610.0,250.0,28.0,43.0,6.0,31.0,0.0,70.0,24.0,1400.0,58.0,57.0,19.0,3.0,13.0,11.0,32.0,4.0,20.0,15.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
62,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450.0,130.0,15.0,23.0,4.5,22.0,0.0,90.0,30.0,1230.0,51.0,43.0,14.0,3.0,13.0,9.0,36.0,4.0,20.0,15.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
63,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750.0,340.0,38.0,59.0,10.0,51.0,0.5,90.0,31.0,1720.0,72.0,65.0,22.0,4.0,15.0,16.0,36.0,8.0,25.0,30.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
64,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590.0,230.0,25.0,39.0,8.0,42.0,0.0,110.0,37.0,1560.0,65.0,51.0,17.0,4.0,15.0,14.0,40.0,8.0,30.0,30.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
65,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430.0,170.0,19.0,29.0,3.0,15.0,0.0,45.0,14.0,910.0,38.0,43.0,14.0,2.0,7.0,7.0,21.0,4.0,2.0,15.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
66,McChicken,5.1 oz (143 g),360.0,140.0,16.0,25.0,3.0,15.0,0.0,35.0,11.0,800.0,33.0,40.0,13.0,2.0,7.0,5.0,14.0,0.0,2.0,10.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
67,Bacon Cheddar McChicken,6 oz (171 g),480.0,220.0,24.0,38.0,7.0,35.0,0.0,65.0,21.0,1260.0,53.0,43.0,14.0,2.0,8.0,6.0,22.0,4.0,10.0,20.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
68,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430.0,190.0,21.0,32.0,5.0,25.0,0.0,50.0,17.0,1260.0,53.0,41.0,14.0,2.0,7.0,6.0,20.0,2.0,10.0,15.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
69,Buffalo Ranch McChicken,5.2 oz (148 g),360.0,150.0,16.0,25.0,3.0,16.0,0.0,35.0,11.0,990.0,41.0,40.0,13.0,2.0,7.0,5.0,14.0,2.0,2.0,15.0,15.0,0,0,0,1,0,0,0,0,0,0,1,0
70,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630.0,280.0,32.0,49.0,9.0,45.0,0.5,80.0,26.0,1540.0,64.0,56.0,19.0,3.0,13.0,7.0,32.0,60.0,20.0,20.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
71,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480.0,170.0,19.0,28.0,7.0,36.0,0.0,95.0,32.0,1370.0,57.0,42.0,14.0,3.0,13.0,6.0,36.0,60.0,25.0,20.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
72,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610.0,280.0,31.0,47.0,8.0,40.0,0.5,65.0,21.0,1340.0,56.0,56.0,19.0,3.0,14.0,8.0,27.0,60.0,15.0,20.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
73,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450.0,160.0,18.0,27.0,6.0,31.0,0.5,80.0,27.0,1170.0,49.0,42.0,14.0,3.0,14.0,6.0,30.0,60.0,15.0,15.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
74,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670.0,300.0,33.0,51.0,8.0,40.0,0.5,60.0,21.0,1480.0,62.0,68.0,23.0,5.0,19.0,12.0,27.0,60.0,15.0,20.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
75,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520.0,180.0,20.0,31.0,6.0,32.0,0.0,80.0,27.0,1320.0,55.0,55.0,18.0,5.0,20.0,10.0,31.0,70.0,15.0,20.0,20.0,0,0,0,1,0,0,0,0,0,0,1,0
